"Strategy","Timeframe","Total","Wins","Losses","Open","WinRate","AvgPnL","TotalPnL"
"MA Cross 10/50","15m","21","2","9","10","9,5","-34,52","-725,00"
"MA Cross 10/50","30m","23","3","7","13","13","-37,74","-868,00"
"MA Cross 10/50","1h","21","5","10","6","23,8","-93,00","-1953,00"
"MA Cross 10/50","4h","17","8","5","4","47,1","340,47","5788,00"
"Donchian Breakout","15m","18","4","3","11","22,2","14,78","266,00"
"Donchian Breakout","30m","73","9","39","25","12,3","-171,15","-12494,00"
"Donchian Breakout","1h","105","4","69","32","3,8","-200,83","-21087,00"
"Donchian Breakout","4h","124","67","40","17","54","-29,73","-3686,00"
"BB Mean Reversion","15m","101","40","48","13","39,6","-2,46","-248,00"
"BB Mean Reversion","30m","65","20","34","11","30,8","-457,03","-29707,00"
"BB Mean Reversion","1h","68","28","38","2","41,2","409,66","27857,00"
"BB Mean Reversion","4h","44","22","22","0","50","367,50","16170,00"
"Donchian V2","15m","0","0","0","0","0","0","0"
"Donchian V2","30m","0","0","0","0","0","0","0"
"Donchian V2","1h","0","0","0","0","0","0","0"
