,ts_signal,side,entry_price,tp_price,sl_price,outcome,pnl,bars_held,exit_price
0,2019-12-19 22:00:00,SHORT,127.2,112.90714285714286,136.72857142857143,TIMEOUT,-13.32311320754717,100,1821.9
1,2019-12-22 19:00:00,LONG,132.2,134.3725143324879,130.75165711167472,LOSS,-0.01095569507053912,13,130.75165711167472
2,2019-12-24 06:00:00,SHORT,128.11,126.61288302253999,129.10807798497336,WIN,0.011686183572398907,11,126.61288302253999
3,2019-12-28 11:00:00,LONG,127.51,128.5991527962201,126.78389813585328,WIN,0.008541704934672505,3,128.5991527962201
4,2020-01-02 09:00:00,SHORT,129.74,128.1462713584271,130.80248576104862,WIN,0.01228401912727693,3,128.1462713584271
5,2020-01-03 12:00:00,LONG,132.66,134.01041375980472,131.7597241601302,LOSS,-0.006786339815089751,2,131.7597241601302
6,2020-01-09 14:00:00,SHORT,138.19,136.06275774154662,139.60816150563556,WIN,0.015393604880623624,11,136.06275774154662
7,2020-01-10 18:00:00,LONG,142.68,145.01438919207538,141.12374053861643,WIN,0.016361011999406906,12,145.01438919207538
8,2020-01-20 13:00:00,SHORT,164.45,160.85441306782758,166.8470579547816,LOSS,-0.014576211339505114,2,166.8470579547816
9,2020-01-21 12:00:00,LONG,167.63,169.8971397240115,166.11857351732564,LOSS,-0.009016443850589705,6,166.11857351732564
10,2020-01-23 02:00:00,SHORT,165.04,162.9622147931774,166.4251901378817,WIN,0.012589585596356017,9,162.9622147931774
11,2020-01-26 20:00:00,LONG,167.0,168.8238282221939,165.7841145185374,WIN,0.010921127079005366,3,168.8238282221939
12,2020-02-11 01:00:00,SHORT,219.33,216.3577970411408,221.31146863923948,LOSS,-0.009034188844387298,6,221.31146863923948
13,2020-02-11 15:00:00,LONG,229.09,231.88701279799434,227.2253248013371,WIN,0.012209231297718543,2,231.88701279799434
14,2020-02-16 00:00:00,SHORT,263.72,255.90897689440828,268.9273487370612,LOSS,-0.019745748282501065,2,268.9273487370612
15,2020-02-18 02:00:00,LONG,269.54,275.9180862369725,265.28794250868503,LOSS,-0.0157752374093455,7,265.28794250868503
16,2020-02-20 01:00:00,SHORT,262.05,254.74156230013512,266.92229179990994,WIN,0.027889477961705385,9,254.74156230013512
